2024001,stu2024001,stu2024001@school.edu,Jeremy,Stitch,19
2024002,stu2024002,stu2024002@school.edu,Quinton,Kocher,19
2024003,stu2024003,stu2024003@school.edu,Lander,Busse,19
2024004,stu2024004,stu2024004@school.edu,Badge,Busse,19
2024005,stu2024005,stu2024005@school.edu,Daniel,Beresky,19
2024006,stu2024006,stu2024006@school.edu,David,Beresky,19
2024007,stu2024007,stu2024007@school.edu,Derek,Beresky,19
2024008,stu2024008,stu2024008@school.edu,Ron,Allen,19
2024009,stu2024009,stu2024009@school.edu,William,Arthur,19
2024010,stu2024010,stu2024010@school.edu,Jeff,Bania,19
2024011,stu2024011,stu2024011@school.edu,Thomas,Brown,19
2024012,stu2024012,stu2024012@school.edu,Jeff,Clay,19
2024013,stu2024013,stu2024013@school.edu,Greg,Hochstetler,19
2024014,stu2024014,stu2024014@school.edu,Tim,Johnson,19
2024015,stu2024015,stu2024015@school.edu,Eric,Johnson,19
2024016,stu2024016,stu2024016@school.edu,Jerry,King,19
2024017,stu2024017,stu2024017@school.edu,James,Lambright,19
2024018,stu2024018,stu2024018@school.edu,Heath,Lambright,19
2024019,stu2024019,stu2024019@school.edu,Rod,Linville,19
2024020,stu2024020,stu2024020@school.edu,Brent,Lowe,19
2024021,stu2024021,stu2024021@school.edu,Rex,Lowe,19
2024022,stu2024022,stu2024022@school.edu,Brian,Miller,19
2024023,stu2024023,stu2024023@school.edu,Frank,Oren,19
2024024,stu2024024,stu2024024@school.edu,Matthew,Patsch,19
2024025,stu2024025,stu2024025@school.edu,Chris,Ricker,19
2024026,stu2024026,stu2024026@school.edu,Alan,Ripper,19
2024027,stu2024027,stu2024027@school.edu,Adam,Ripper,19
2024028,stu2024028,stu2024028@school.edu,Tim,Scheutzow,19
2024029,stu2024029,stu2024029@school.edu,Jim,Surratt,19
2024030,stu2024030,stu2024030@school.edu,George,Vermilyea,19
2024031,stu2024031,stu2024031@school.edu,Michael,Winter,19
2024032,stu2024032,stu2024032@school.edu,David,Winter,19
2024033,stu2024033,stu2024033@school.edu,Bill,Bixby,19
2024034,stu2024034,stu2024034@school.edu,Justin,Brenenstuhl,19
2024035,stu2024035,stu2024035@school.edu,Bruce,Collier,19
2024036,stu2024036,stu2024036@school.edu,Matthew,Hoert,19
